string,pred_old,preds
1 3/4 cup bourbon,cashew,bourbon
1 3/4 cup charred lemon juice,lemon juice,lemon juice juice
1 3/4 cup coconut milk,goat milk,coconut milk
1 3/4 cup coffee bean,coffee bean,coffee bean
1 3/4 cup cranberry,fig,cranberry
1 3/4 cup cranberry (optional),fig,cranberry
"1 3/4 cup cranberry, sliced",fig,seltzer
1 3/4 cup granulated sugar,granulated sugar,granulated sugar
1 3/4 cup kosher salt,kosher salt,kosher salt
"1 3/4 cup kosher salt, divided",kosher salt,kosher salt
"1 3/4 cup lime juice, freshly squeezed",lime juice,lime juice
1 3/4 cup raw turbinado sugar,turbinado sugar,turbinado turbinado sugar
1 3/4 cup sugar,sugar soda,sugar
1 3/4 cup unsweetened cocoa powder,cocoa powder,unsweetened cocoa powder
1 3/4 cup water,water,water
"1 3/4 cup water, boiling",water,seltzer
1 3/4 cup whole milk,whole milk,whole milk
"1 3/4 cups cooked, drained chickpeas (from a 15-ounce can) or a little shy of 2/3 cup dried chickpeas (for same yield)",allspice,seltzer
1 3/4 dash angostura bitters,angostura bitters,angostura bitters
1 3/4 dash chocolate bitters,chocolate bitters,chocolate bitters
1 3/4 dash maraschino liqueur,maraschino liqueur,maraschino liqueur
1 3/4 dash maraschino liqueur (optional),maraschino liqueur,maraschino liqueur
1 3/4 earl grey tea bag,earl grey tea bag,earl grey tea bag
1 3/4 grapefruit twist,grapefruit,grapefruit twist
"1 3/4 ice cube, cracked",ice cube,ice cube
"1 3/4 in medium pineapple, peeled, cored, and cubed",mezcal,medium lemon
"1 3/4 jalapeno, sliced",pomegranate,seltzer
"1 3/4 jalapeno, with seeds",pomegranate,lemon
1 3/4 large ice cube,ice cube,large cube cube
1 3/4 leaf fresh mint,lemon oil,mint mint
1 3/4 leaf mint,lemon oil,mint
"1 3/4 leaf mint, fresh",olive oil,seltzer
"1 3/4 leek, white and light green parts only, cleaned and sliced into thin rings",mangoes,seltzer
1 3/4 maraschino cherry,maraschino cherry,maraschino cherry
"1 3/4 medium beet, grated",beet,medium
"1 3/4 medium cloves garlic, minced",ginger,garlic
1 3/4 medium lime,lime,medium lime
1 3/4 olive,olive,olive
"1 3/4 orange, quartered",orange,seltzer
1 3/4 ounces (ml) high-quality blanco tequila (see note),blanco petals,blanco tequila
1 3/4 oz aged rum,aged rum,aged rum
1 3/4 oz allspice bitters,allspice bitters,allspice bitters
1 3/4 oz amaro,amaro,amaro nonino
1 3/4 oz apple cider,apple cider,apple cider
1 3/4 oz apricot liqueur,apricot liqueur,apricot liqueur
1 3/4 oz aquavit,aquavit,aquavit
1 3/4 oz blanco tequila,blanco tequila,blanco tequila
1 3/4 oz blood orange juice,blood orange juice,blood orange juice
