content,category
" -oz grapefruit hefeweizen, chilled",2
 absinthe,2
 allspice,2
 angostura bitters,2
 barspoon brown sugar,2
 barspoon maraschino liqueur,2
 batch ginger-cardamom simple syrup,2
 bay leaf,2
 bay leaves,2
" black peppercorn, cracked",2
 bottle bourbon,2
" bottle cava, chilled",2
 bottle cheap red wine,2
" bottle coffee, cold",2
" bottle cognac,  ml",2
 bottle dry red wine,2
 bottle dry red wine (optional),2
" bottle dry rose, cold",2
" bottle dry sparkling wine, chilled",2
 bottle dry white wine,2
 bottle duvel beer,2
" bottle prosecco, chilled",2
 bottle scotch,2
 bottle seltzer,2
 bottle vodka,2
 brandied cherry,2
 brut sparkling wine,2
 can clamato,2
 can grapefruit soda,2
 can maraschino cherry,2
 candied ginger,2
 cardamom pod,2
 cherry tomatoes,2
" chipotle chile pepper in adobo sauce, chopped",2
 cinnamon stick,2
 cinnamon stick or pinch ground cinnamon,2
" cinnamon, grated",2
 clove cinnamon stick,2
 clove medium garlic,2
" clove medium garlic, thinly sliced",2
" cloves  garlic, crushed",2
 club soda,2
" club soda, chilled",2
 crushed ice,2
 cup ( grams) all-purpose flour,2
 cup ( grams) dark brown sugar,2
 cup ( grams) dark brown sugar (optional),2
 cup ( grams) fresh cranberries,2
 cup ( grams) molasses or treacle [updated weight],2
 cup ( grams) plus  cup ( grams) granulated sugar,2
 cup ( grams) water,2
 cup (g) water or milk (see note),2
 cup aged rum,2
 cup almond,2
 cup aperol,2
 cup apple brandy,2
 cup apple cider,2
 cup apple cider vinegar,2
" cup apple cider, fresh",2
 cup apple schnapps,2
 cup applejack,2
" cup beef broth, chilled",2
 cup blanched almond,2
 cup bourbon,2
 cup brandy,2
" cup brewed black tea, chilled",2
 cup brown sugar,2
 cup buttermilk,2
 cup campari,2
" cup cardamom pod, lightly crushed",2
 cup celery salt,2
 cup charred lemon juice,2
" cup cherry, pitted",2
 cup chicken stock,2
 cup chopped pineapple,2
" cup cilantro, fresh",2
 cup cocoa powder,2
 cup coconut milk,2
 cup coffee bean,2
 cup coffee bean (optional),2
 cup cognac,2
 cup cold water,2
 cup concord grape,2
 cup corn syrup,2
 cup crème fraîche or sour cream,2
 cup cranberry,2
 cup cranberry (optional),2
 cup cranberry sauce,2
" cup cranberry, fresh",2
" cup cranberry, sliced",2
 cup creme de cassis,2
 cup crushed ice,2
 cup crushed ice cube,2
 cup dark rum,2
 cup demerara sugar,2
 cup filtered water,2
 cup fresh mint,2
" cup fresh pineapple, cut into chunks",2
" cup fresh strawberry, sliced",2
 cup freshly squeezed grapefruit juice,2
 cup freshly squeezed lemon juice,2
